,ticker,score,max_score,close,rsi,pe,roe_pct,debt_to_equity,stop_loss,target,reward_risk,resistance_20d,criteria_met
1,PETRONET,8,9,280.8,53.4,10.8,18.6,0.11,271.85,298.7,2.0,285.0,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, macd_recent_crossover, profitable_reasonable_pe, healthy_roe_above_12pct, manageable_debt_to_equity"
2,ASHOKLEY,7,9,177.0,71.8,30.0,21.6,3.45,169.95,191.1,2.0,177.0,"uptrend_vs_sma50, sma20_above_sma50, macd_above_signal, macd_recent_crossover, volume_above_avg, profitable_reasonable_pe, healthy_roe_above_12pct"
3,MOTHERSON,7,9,154.35,63.7,42.3,10.1,0.44,147.81,167.43,2.0,155.01,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, volume_above_avg, profitable_reasonable_pe, manageable_debt_to_equity"
4,GAIL,7,9,176.96,55.8,11.8,,0.28,170.51,189.86,2.0,181.44,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, volume_above_avg, profitable_reasonable_pe, manageable_debt_to_equity"
5,IRCTC,7,9,510.25,55.4,29.3,35.0,0.02,496.62,537.51,2.0,513.5,"uptrend_vs_sma50, rsi_in_range_45_68, macd_above_signal, macd_recent_crossover, profitable_reasonable_pe, healthy_roe_above_12pct, manageable_debt_to_equity"
6,PNB,6,9,113.55,65.5,5.9,15.0,,110.58,119.49,2.0,113.99,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, profitable_reasonable_pe, healthy_roe_above_12pct"
7,NATIONALUM,6,9,381.0,65.0,11.4,,0.0,364.56,413.88,2.0,381.0,"uptrend_vs_sma50, rsi_in_range_45_68, macd_above_signal, volume_above_avg, profitable_reasonable_pe, manageable_debt_to_equity"
8,WIPRO,6,9,186.99,62.9,14.9,16.1,0.27,180.97,199.03,2.0,188.66,"uptrend_vs_sma50, rsi_in_range_45_68, macd_above_signal, profitable_reasonable_pe, healthy_roe_above_12pct, manageable_debt_to_equity"
9,CONCOR,6,9,516.35,62.1,31.5,,0.07,497.04,554.97,2.0,524.25,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, profitable_reasonable_pe, manageable_debt_to_equity"
10,BPCL,6,9,326.25,60.8,7.9,,0.54,314.98,348.79,2.0,329.95,"uptrend_vs_sma50, sma20_above_sma50, rsi_in_range_45_68, macd_above_signal, profitable_reasonable_pe, manageable_debt_to_equity"
11,SAIL,6,9,175.5,59.7,17.4,,0.53,167.45,191.6,2.0,175.5,"uptrend_vs_sma50, rsi_in_range_45_68, macd_above_signal, volume_above_avg, profitable_reasonable_pe, manageable_debt_to_equity"
12,IOC,6,9,144.0,56.6,5.9,,0.58,139.68,152.64,2.0,144.0,"uptrend_vs_sma50, rsi_in_range_45_68, macd_above_signal, macd_recent_crossover, profitable_reasonable_pe, manageable_debt_to_equity"
13,NMDC,6,9,85.8,54.4,10.1,23.4,0.19,83.19,91.02,2.0,85.85,"rsi_in_range_45_68, macd_above_signal, volume_above_avg, profitable_reasonable_pe, healthy_roe_above_12pct, manageable_debt_to_equity"
